"Объект","Мужчины и женщины","Мужчины","Женщины","мужчины в процентах","женщины в процентах"
"Сельское поселение Ташлы-Тала","724","336","388","46.4","53.6"
"Сельское поселение Урух - село Урух","4,519","2,332","2,187","51.6","48.4"
"Сельское поселение Хатуей - село Хатуей","3,876","1,889","1,987","48.7","51.3"
"Майский муниципальный район","38,297","17,755","20,542","46.4","53.6"
"Городское население","26,632","12,254","14,378","46.0","54.0"
"Сельское население","11,665","5,501","6,164","47.2","52.8"
"Городское поселение Майский","27,266","12,570","14,696","46.1","53.9"
"Городское население - г. Майский","26,632","12,254","14,378","46.0","54.0"
"Сельское население","634","316","318","49.8","50.2"
"Сельское поселение Ново-Ивановское  - сельское население","3,033","1,460","1,573","48.1","51.9"
"Сельское поселение Октябрьское  - сельское население","1,100","507","593","46.1","53.9"
"Сельское поселение станица Александровская - сельское население - станица Александровская","3,705","1,733","1,972","46.8","53.2"
"Сельское поселение станица Котляревская - сельское население","3,193","1,485","1,708","46.5","53.5"
"станица Котляревская","3,193","1,485","1,708","46.5","53.5"
"прочие сельские населенные пункты","-","-","-","-","-"
"Прохладненский муниципальный район - сельское население","49,655","23,952","25,703","48.2","51.8"
"Сельское поселение Алтуд - село Алтуд","6,091","2,978","3,113","48.9","51.1"
"Сельское поселение Благовещенка","1,448","699","749","48.3","51.7"
"Сельское поселение Дальнее","1,125","540","585","48.0","52.0"
"Сельское поселение Заречное","1,265","593","672","46.9","53.1"
"Сельское поселение Карагач - село Карагач","6,574","3,216","3,358","48.9","51.1"
"Сельское поселение Красносельское ","2,172","1,021","1,151","47.0","53.0"
"Сельское поселение Малакановское ","518","266","252","51.4","48.6"
"Сельское поселение Ново-Полтавское ","1,294","640","654","49.5","50.5"
"Сельское поселение Прималкинское ","7,805","3,779","4,026","48.4","51.6"
"село Прималкинское","5,664","2,742","2,922","48.4","51.6"
"прочие сельские населенные пункты","2,141","1,037","1,104","48.4","51.6"
